top,bottom,shoes,occasion,weather_condition,temp_c,mood,score,label
Shirt,Pants,Casual Shoes,Casual,Rainy,29.6,Professional,0.5,0
Dress,Skirt,Boots,Casual,Clear,13.9,Professional,0.55,1
Hoodie,Shorts,Casual Shoes,Party,Sunny,29.0,Bold,0.55,0
Jacket,Shorts,Sandals,Casual,Rainy,31.2,Happy,0.65,1
Hoodie,Pants,Sports Shoes,Party,Snow,13.8,Relaxed,0.8,1
Hoodie,Jeans,Sandals,Office,Sunny,17.3,Bold,0.05,0
Sweater,Jeans,Sports Shoes,Wedding,Clear,32.6,Happy,0.0,0
Blouse,Pants,Sports Shoes,Party,Snow,27.5,Happy,0.6,1
Dress,Jeans,Sandals,Date,Cloudy,17.0,Bold,0.8,1
Coat,Pants,Sandals,Office,Cloudy,7.9,Bold,0.75,1
T-Shirt,Skirt,Sports Shoes,Date,Sunny,17.5,Relaxed,0.5,0
Jacket,Shorts,Boots,Casual,Clear,17.2,Romantic,0.5,0
T-Shirt,Shorts,Sandals,Office,Rainy,15.7,Bold,0.0,0
Sweater,Shorts,Heels,Party,Cloudy,32.7,Happy,0.6,1
Coat,Skirt,Sandals,Party,Cloudy,27.7,Happy,0.6,1
T-Shirt,Shorts,Sandals,Casual,Clear,35.1,Relaxed,1.0,1
Dress,Shorts,Sandals,Wedding,Clear,36.8,Bold,0.25,0
Dress,Pants,Boots,Office,Clear,18.0,Professional,0.95,1
Dress,Jeans,Sandals,Casual,Sunny,11.0,Professional,0.6,1
Blouse,Shorts,Casual Shoes,Office,Cloudy,24.5,Romantic,0.4,0
T-Shirt,Jeans,Casual Shoes,Wedding,Rainy,10.9,Bold,0.1,0
Blouse,Pants,Boots,Date,Sunny,25.9,Romantic,0.8,1
Blouse,Jeans,Heels,Casual,Snow,35.7,Bold,0.65,1
Hoodie,Shorts,Boots,Casual,Clear,30.0,Happy,0.8,1
Shirt,Shorts,Sports Shoes,Date,Snow,29.8,Professional,0.5,0
Dress,Shorts,Boots,Wedding,Rainy,5.1,Bold,0.25,0
Jacket,Jeans,Boots,Wedding,Rainy,39.5,Bold,0.85,1
Blouse,Shorts,Sports Shoes,Casual,Cloudy,34.8,Happy,0.95,1
Sweater,Jeans,Sandals,Office,Cloudy,23.1,Professional,0.6,1
Blouse,Pants,Sandals,Party,Sunny,17.6,Romantic,0.6,1
T-Shirt,Pants,Sports Shoes,Wedding,Snow,32.3,Professional,0.0,0
Dress,Jeans,Casual Shoes,Office,Cloudy,29.2,Romantic,0.5,0
Coat,Shorts,Heels,Wedding,Cloudy,37.2,Relaxed,0.15,0
Blouse,Jeans,Boots,Office,Rainy,18.1,Romantic,1.0,1
Shirt,Jeans,Sandals,Casual,Cloudy,39.5,Professional,0.75,1
T-Shirt,Shorts,Sandals,Wedding,Snow,10.8,Professional,0.0,0
Shirt,Jeans,Casual Shoes,Date,Cloudy,39.7,Relaxed,0.6,1
Dress,Shorts,Boots,Party,Cloudy,20.7,Happy,0.75,1
Jacket,Skirt,Casual Shoes,Party,Cloudy,34.1,Romantic,0.25,0
Sweater,Skirt,Casual Shoes,Wedding,Cloudy,14.5,Romantic,1.0,1
Shirt,Shorts,Casual Shoes,Date,Rainy,20.6,Happy,0.4,0
Dress,Pants,Boots,Wedding,Clear,24.3,Romantic,1.0,1
Coat,Jeans,Casual Shoes,Casual,Rainy,14.2,Professional,0.85,1
Dress,Pants,Casual Shoes,Office,Clear,14.6,Romantic,0.7,1
Coat,Jeans,Heels,Date,Snow,28.7,Romantic,0.8,1
Jacket,Skirt,Heels,Casual,Cloudy,36.2,Bold,0.25,0
T-Shirt,Jeans,Heels,Party,Sunny,5.9,Romantic,0.8,1
Sweater,Shorts,Sandals,Wedding,Sunny,13.4,Bold,0.0,0
Jacket,Jeans,Sports Shoes,Office,Clear,7.1,Romantic,0.25,0
Blouse,Jeans,Sandals,Wedding,Cloudy,8.1,Professional,0.65,1
Dress,Shorts,Sports Shoes,Wedding,Rainy,15.7,Relaxed,0.0,0
Shirt,Jeans,Boots,Wedding,Rainy,19.4,Bold,1.0,1
Shirt,Skirt,Boots,Party,Rainy,30.3,Relaxed,0.65,1
Sweater,Pants,Heels,Party,Cloudy,20.7,Relaxed,0.7,1
Blouse,Pants,Sandals,Casual,Cloudy,15.9,Happy,0.7,1
Dress,Skirt,Sandals,Party,Cloudy,38.5,Happy,0.9,1
Coat,Shorts,Sandals,Wedding,Clear,34.3,Relaxed,0.0,0
Blouse,Skirt,Sports Shoes,Wedding,Clear,5.7,Bold,0.65,1
Blouse,Pants,Sports Shoes,Wedding,Cloudy,15.0,Relaxed,0.65,1
Dress,Skirt,Boots,Office,Cloudy,34.4,Romantic,0.85,1
T-Shirt,Skirt,Sandals,Party,Clear,6.0,Bold,0.7,1
T-Shirt,Shorts,Sandals,Party,Rainy,10.7,Relaxed,0.2,0
Dress,Pants,Boots,Wedding,Cloudy,36.4,Professional,0.95,1
Jacket,Jeans,Casual Shoes,Office,Cloudy,33.3,Romantic,0.25,0
T-Shirt,Skirt,Sports Shoes,Date,Snow,24.8,Bold,0.6,1
Hoodie,Jeans,Heels,Casual,Clear,35.3,Bold,0.6,1
Shirt,Skirt,Sports Shoes,Office,Sunny,31.1,Professional,0.85,1
Sweater,Pants,Sports Shoes,Casual,Cloudy,11.0,Bold,0.8,1
Hoodie,Shorts,Sandals,Wedding,Cloudy,10.6,Happy,0.0,0
Coat,Skirt,Heels,Office,Rainy,27.3,Bold,1.0,1
Jacket,Jeans,Sports Shoes,Office,Sunny,22.7,Happy,0.05,0
T-Shirt,Skirt,Sandals,Casual,Sunny,18.8,Relaxed,1.0,1
Hoodie,Jeans,Casual Shoes,Office,Snow,37.9,Happy,0.15,0
Jacket,Skirt,Boots,Date,Snow,18.1,Bold,0.95,1
Jacket,Pants,Boots,Casual,Sunny,18.7,Romantic,0.25,0
Jacket,Pants,Boots,Party,Cloudy,40.0,Bold,0.4,0
Hoodie,Pants,Heels,Casual,Snow,17.7,Professional,0.8,1
Sweater,Shorts,Sports Shoes,Date,Snow,12.2,Romantic,0.7,1
T-Shirt,Pants,Heels,Wedding,Clear,30.0,Professional,0.55,1
Sweater,Jeans,Casual Shoes,Office,Rainy,15.6,Bold,0.7,1
T-Shirt,Skirt,Casual Shoes,Office,Sunny,27.3,Bold,0.4,0
Blouse,Shorts,Heels,Casual,Cloudy,27.5,Bold,0.65,1
Sweater,Skirt,Boots,Office,Snow,8.4,Relaxed,1.0,1
Jacket,Pants,Heels,Party,Rainy,6.4,Bold,1.0,1
Sweater,Shorts,Sandals,Wedding,Clear,5.1,Professional,0.0,0
Hoodie,Pants,Casual Shoes,Casual,Cloudy,34.9,Relaxed,0.7,1
Coat,Skirt,Casual Shoes,Office,Sunny,34.8,Bold,0.45,0
Sweater,Jeans,Sports Shoes,Casual,Snow,32.1,Bold,0.7,1
Shirt,Shorts,Boots,Casual,Sunny,7.8,Relaxed,0.85,1
Shirt,Jeans,Heels,Date,Clear,33.9,Professional,0.75,1
Shirt,Shorts,Sandals,Office,Sunny,30.5,Romantic,0.6,1
Blouse,Skirt,Sports Shoes,Wedding,Sunny,12.4,Relaxed,0.65,1
Coat,Pants,Boots,Party,Rainy,8.7,Happy,0.95,1
Dress,Skirt,Boots,Casual,Clear,25.9,Happy,0.6,1
Sweater,Jeans,Boots,Date,Clear,24.3,Happy,0.25,0
Sweater,Skirt,Casual Shoes,Casual,Clear,28.9,Happy,0.45,0
Dress,Skirt,Heels,Office,Rainy,7.5,Professional,0.95,1
T-Shirt,Pants,Sandals,Casual,Snow,12.8,Bold,0.65,1
Shirt,Shorts,Heels,Date,Clear,28.5,Romantic,1.0,1
Blouse,Skirt,Sandals,Wedding,Clear,11.7,Romantic,1.0,1
Sweater,Shorts,Sports Shoes,Date,Clear,8.5,Relaxed,0.35,0
Hoodie,Pants,Heels,Wedding,Sunny,27.0,Bold,0.3,0
Coat,Shorts,Casual Shoes,Office,Snow,22.5,Bold,0.15,0
Sweater,Pants,Sandals,Date,Rainy,23.8,Professional,0.55,0
Sweater,Shorts,Sandals,Casual,Rainy,39.7,Happy,0.65,1
Shirt,Shorts,Sports Shoes,Party,Snow,6.3,Romantic,0.25,0
T-Shirt,Skirt,Boots,Party,Sunny,35.2,Romantic,0.6,1
Coat,Shorts,Heels,Party,Snow,26.1,Relaxed,0.65,1
Blouse,Jeans,Casual Shoes,Casual,Rainy,33.2,Bold,0.75,1
Coat,Jeans,Sandals,Party,Cloudy,24.0,Bold,0.65,1
Coat,Skirt,Sports Shoes,Wedding,Rainy,30.9,Bold,0.3,0
Coat,Pants,Sports Shoes,Office,Snow,8.8,Bold,0.7,1
Blouse,Jeans,Casual Shoes,Date,Rainy,16.0,Bold,0.7,1
Sweater,Pants,Heels,Party,Clear,13.4,Relaxed,0.65,1
T-Shirt,Jeans,Heels,Wedding,Cloudy,25.7,Bold,0.35,0
T-Shirt,Skirt,Casual Shoes,Office,Clear,20.3,Happy,0.4,0
Jacket,Skirt,Casual Shoes,Wedding,Cloudy,39.0,Relaxed,0.45,0
Hoodie,Jeans,Boots,Date,Cloudy,36.5,Romantic,0.45,0
T-Shirt,Jeans,Boots,Wedding,Cloudy,13.0,Happy,0.5,0
Shirt,Shorts,Casual Shoes,Party,Rainy,34.8,Romantic,0.35,0
Jacket,Shorts,Heels,Party,Rainy,21.5,Romantic,0.65,1
Hoodie,Jeans,Boots,Casual,Cloudy,38.1,Bold,0.6,1
Jacket,Pants,Boots,Party,Cloudy,23.8,Professional,0.4,0
Jacket,Jeans,Casual Shoes,Casual,Sunny,14.4,Happy,0.8,1
Blouse,Shorts,Sandals,Casual,Sunny,16.6,Romantic,0.95,1
Jacket,Jeans,Casual Shoes,Wedding,Snow,14.5,Professional,0.7,1
Jacket,Pants,Sports Shoes,Party,Rainy,27.6,Romantic,0.7,1
Sweater,Pants,Sports Shoes,Party,Sunny,25.6,Relaxed,0.25,0
Blouse,Pants,Sports Shoes,Office,Sunny,5.0,Bold,0.75,1
Blouse,Pants,Boots,Party,Clear,38.4,Bold,0.65,1
Blouse,Skirt,Casual Shoes,Party,Clear,25.1,Romantic,0.5,0
Hoodie,Jeans,Casual Shoes,Date,Snow,8.1,Bold,0.8,1
Shirt,Shorts,Heels,Party,Cloudy,11.6,Relaxed,0.45,0
Shirt,Pants,Sports Shoes,Casual,Cloudy,32.6,Relaxed,0.75,1
Sweater,Shorts,Heels,Office,Rainy,25.5,Bold,0.3,0
Blouse,Pants,Casual Shoes,Wedding,Cloudy,12.8,Bold,1.0,1
Hoodie,Shorts,Sports Shoes,Party,Snow,22.8,Relaxed,0.55,1
Blouse,Jeans,Sandals,Date,Rainy,9.6,Happy,0.45,0
Jacket,Pants,Casual Shoes,Wedding,Snow,8.0,Professional,0.9,1
Dress,Skirt,Heels,Wedding,Snow,19.2,Professional,0.95,1
T-Shirt,Pants,Heels,Wedding,Snow,20.2,Bold,0.55,1
Blouse,Skirt,Heels,Office,Cloudy,24.9,Romantic,1.0,1
Shirt,Jeans,Heels,Date,Clear,13.2,Bold,0.85,1
Hoodie,Pants,Sandals,Wedding,Rainy,14.2,Professional,0.35,0
Blouse,Shorts,Casual Shoes,Office,Sunny,27.2,Bold,0.5,0
Shirt,Jeans,Boots,Party,Clear,30.8,Professional,0.4,0
Coat,Skirt,Casual Shoes,Date,Sunny,30.9,Happy,0.25,0
Jacket,Jeans,Boots,Party,Cloudy,6.5,Professional,0.75,1
Sweater,Skirt,Sandals,Office,Rainy,38.2,Professional,0.7,1
Hoodie,Jeans,Heels,Office,Snow,25.9,Professional,0.65,1
Shirt,Skirt,Heels,Date,Sunny,16.7,Relaxed,0.75,1
T-Shirt,Skirt,Sandals,Date,Clear,17.6,Professional,0.6,1
Coat,Shorts,Casual Shoes,Office,Clear,24.3,Happy,0.0,0
Sweater,Pants,Sports Shoes,Office,Rainy,12.3,Relaxed,0.6,1
Blouse,Skirt,Heels,Casual,Sunny,23.4,Relaxed,0.65,1
Shirt,Jeans,Boots,Casual,Cloudy,23.7,Bold,0.65,1
Blouse,Jeans,Sandals,Office,Snow,27.9,Relaxed,0.5,0
Sweater,Shorts,Boots,Casual,Rainy,19.7,Relaxed,0.95,1
Shirt,Jeans,Heels,Casual,Snow,30.2,Bold,0.65,1
Dress,Pants,Sports Shoes,Wedding,Sunny,19.6,Happy,0.35,0
Shirt,Jeans,Casual Shoes,Date,Rainy,28.2,Romantic,0.8,1
Jacket,Skirt,Sports Shoes,Casual,Cloudy,18.3,Bold,0.6,1
Dress,Pants,Heels,Office,Sunny,38.6,Bold,0.85,1
Dress,Shorts,Sports Shoes,Wedding,Rainy,17.8,Romantic,0.0,0
T-Shirt,Pants,Heels,Wedding,Rainy,23.6,Happy,0.55,1
Dress,Skirt,Sandals,Casual,Rainy,32.7,Bold,0.55,0
Sweater,Skirt,Sandals,Office,Sunny,30.3,Bold,0.55,0
Jacket,Skirt,Sports Shoes,Casual,Rainy,36.7,Relaxed,0.7,1
Shirt,Jeans,Heels,Date,Rainy,29.6,Happy,0.75,1
Hoodie,Pants,Casual Shoes,Office,Cloudy,23.5,Relaxed,0.3,0
Sweater,Pants,Sports Shoes,Office,Clear,19.2,Professional,0.35,0
Sweater,Shorts,Sports Shoes,Party,Clear,20.1,Romantic,0.3,0
T-Shirt,Jeans,Sandals,Date,Snow,20.1,Romantic,0.55,0
Coat,Skirt,Heels,Office,Cloudy,23.8,Romantic,0.85,1
Sweater,Pants,Sandals,Wedding,Rainy,22.6,Relaxed,0.75,1
Jacket,Skirt,Sandals,Wedding,Sunny,18.8,Professional,0.55,0
Coat,Skirt,Heels,Date,Clear,25.8,Relaxed,0.4,0
Hoodie,Shorts,Sports Shoes,Date,Cloudy,35.4,Professional,0.35,0
T-Shirt,Skirt,Sports Shoes,Office,Rainy,27.8,Happy,0.2,0
Sweater,Jeans,Casual Shoes,Casual,Clear,27.8,Relaxed,0.65,1
Shirt,Pants,Heels,Date,Rainy,11.2,Romantic,0.95,1
Coat,Shorts,Casual Shoes,Casual,Cloudy,14.7,Relaxed,0.9,1
Blouse,Shorts,Casual Shoes,Party,Sunny,21.1,Relaxed,0.55,1
Sweater,Jeans,Heels,Party,Clear,21.6,Bold,0.6,1
Coat,Jeans,Heels,Office,Snow,27.2,Bold,0.85,1
Hoodie,Shorts,Sports Shoes,Office,Rainy,19.0,Bold,0.0,0
Shirt,Jeans,Casual Shoes,Casual,Cloudy,10.2,Romantic,0.75,1
Jacket,Skirt,Sports Shoes,Wedding,Sunny,11.7,Relaxed,0.3,0
Hoodie,Pants,Boots,Casual,Sunny,13.6,Bold,0.8,1
Hoodie,Shorts,Casual Shoes,Wedding,Rainy,25.3,Bold,0.0,0
Blouse,Skirt,Sandals,Party,Clear,37.4,Relaxed,0.6,1
Sweater,Jeans,Boots,Date,Rainy,21.9,Romantic,1.0,1
Jacket,Skirt,Sandals,Office,Rainy,7.1,Professional,0.85,1
Shirt,Skirt,Sandals,Casual,Snow,39.0,Happy,0.65,1
Blouse,Jeans,Boots,Date,Sunny,28.2,Bold,0.7,1
Hoodie,Skirt,Boots,Date,Snow,9.6,Happy,0.85,1
Shirt,Pants,Sports Shoes,Wedding,Cloudy,15.1,Professional,0.65,1
Sweater,Jeans,Sports Shoes,Party,Clear,21.8,Relaxed,0.25,0
Dress,Pants,Sports Shoes,Party,Rainy,21.9,Relaxed,0.7,1
Coat,Pants,Boots,Date,Rainy,37.5,Professional,0.6,1
Dress,Pants,Casual Shoes,Casual,Sunny,36.9,Professional,0.5,0
T-Shirt,Jeans,Heels,Date,Cloudy,9.8,Happy,0.65,1
Hoodie,Shorts,Sports Shoes,Date,Cloudy,8.6,Romantic,0.7,1
Shirt,Pants,Casual Shoes,Office,Snow,22.5,Bold,0.95,1
Dress,Jeans,Heels,Office,Cloudy,28.0,Romantic,0.65,1
Jacket,Skirt,Sandals,Date,Sunny,30.3,Relaxed,0.35,0
Jacket,Pants,Boots,Wedding,Sunny,24.2,Happy,0.7,1
T-Shirt,Jeans,Heels,Casual,Rainy,26.0,Romantic,0.85,1
Coat,Shorts,Sports Shoes,Date,Sunny,13.0,Professional,0.35,0
Dress,Shorts,Sports Shoes,Casual,Clear,12.2,Bold,0.65,1
Jacket,Jeans,Casual Shoes,Wedding,Clear,29.2,Romantic,0.4,0
Hoodie,Jeans,Sandals,Party,Cloudy,22.4,Happy,0.7,1
Blouse,Shorts,Heels,Party,Clear,34.5,Happy,0.85,1
Coat,Shorts,Boots,Wedding,Clear,26.5,Bold,0.15,0
Sweater,Pants,Heels,Office,Cloudy,35.7,Happy,0.6,1
Shirt,Shorts,Sandals,Office,Snow,31.7,Happy,0.25,0
Dress,Pants,Boots,Date,Clear,11.4,Bold,0.95,1
Coat,Skirt,Sandals,Date,Sunny,35.1,Professional,0.35,0
Sweater,Shorts,Heels,Office,Snow,29.2,Professional,0.25,0
Hoodie,Shorts,Heels,Wedding,Snow,30.1,Bold,0.0,0
Hoodie,Skirt,Boots,Wedding,Clear,39.7,Romantic,0.45,0
Dress,Jeans,Sports Shoes,Party,Rainy,25.4,Romantic,0.7,1
Jacket,Pants,Casual Shoes,Wedding,Snow,9.5,Romantic,1.0,1
Hoodie,Skirt,Heels,Wedding,Cloudy,11.2,Relaxed,0.75,1
Sweater,Skirt,Sports Shoes,Wedding,Snow,21.8,Professional,0.55,1
Shirt,Pants,Sports Shoes,Party,Rainy,7.4,Happy,0.6,1
Hoodie,Skirt,Heels,Casual,Cloudy,5.7,Happy,1.0,1
Blouse,Jeans,Casual Shoes,Party,Sunny,13.6,Relaxed,0.5,0
Shirt,Shorts,Sports Shoes,Casual,Clear,7.4,Happy,0.75,1
T-Shirt,Shorts,Boots,Casual,Clear,18.3,Professional,0.85,1
Coat,Shorts,Casual Shoes,Date,Sunny,12.3,Happy,0.35,0
Hoodie,Skirt,Sandals,Wedding,Rainy,22.8,Happy,0.35,0
Sweater,Shorts,Heels,Wedding,Rainy,30.2,Relaxed,0.15,0
Coat,Jeans,Heels,Casual,Snow,6.6,Relaxed,1.0,1
Coat,Skirt,Casual Shoes,Wedding,Sunny,10.8,Happy,0.65,1
T-Shirt,Jeans,Sandals,Date,Snow,38.9,Happy,0.45,0
Jacket,Pants,Heels,Office,Clear,20.1,Bold,0.6,1
Shirt,Skirt,Sandals,Wedding,Cloudy,32.5,Happy,1.0,1
T-Shirt,Skirt,Boots,Office,Snow,30.9,Bold,0.7,1
Coat,Pants,Boots,Casual,Snow,23.5,Bold,0.85,1
Sweater,Pants,Heels,Wedding,Cloudy,15.4,Happy,0.95,1
Sweater,Skirt,Sandals,Date,Sunny,18.8,Bold,0.45,0
Dress,Jeans,Boots,Casual,Cloudy,24.2,Romantic,0.65,1
Dress,Skirt,Boots,Casual,Rainy,13.9,Happy,0.75,1
T-Shirt,Jeans,Sandals,Party,Rainy,37.1,Romantic,0.55,0
T-Shirt,Skirt,Sandals,Casual,Clear,26.9,Romantic,0.9,1
Sweater,Shorts,Sports Shoes,Wedding,Snow,35.9,Professional,0.0,0
Shirt,Shorts,Sports Shoes,Office,Snow,10.6,Professional,0.1,0
Shirt,Pants,Heels,Wedding,Sunny,25.9,Relaxed,1.0,1
T-Shirt,Shorts,Boots,Date,Sunny,7.1,Happy,0.55,0
Jacket,Jeans,Sandals,Party,Cloudy,37.9,Professional,0.25,0
Dress,Jeans,Heels,Date,Clear,32.5,Bold,0.95,1
Dress,Jeans,Casual Shoes,Wedding,Sunny,36.9,Happy,0.5,0
Shirt,Jeans,Sandals,Date,Cloudy,25.9,Happy,0.6,1
T-Shirt,Shorts,Sandals,Party,Clear,12.2,Romantic,0.4,0
Shirt,Pants,Casual Shoes,Wedding,Sunny,13.4,Happy,1.0,1
Hoodie,Pants,Heels,Wedding,Rainy,18.7,Bold,0.75,1
Shirt,Shorts,Sandals,Casual,Snow,37.5,Bold,0.6,1
Jacket,Pants,Boots,Office,Snow,26.2,Happy,1.0,1
Coat,Jeans,Boots,Casual,Sunny,35.2,Relaxed,0.55,1
Jacket,Pants,Heels,Date,Rainy,18.6,Romantic,1.0,1
Hoodie,Pants,Boots,Date,Clear,23.7,Happy,0.25,0
Coat,Jeans,Sandals,Office,Sunny,35.4,Bold,0.35,0
Jacket,Jeans,Sports Shoes,Wedding,Rainy,34.4,Bold,0.1,0
Jacket,Jeans,Boots,Wedding,Sunny,18.4,Romantic,0.65,1
Dress,Jeans,Heels,Office,Rainy,6.8,Bold,0.65,1
Shirt,Jeans,Casual Shoes,Wedding,Sunny,28.2,Bold,0.8,1
Blouse,Shorts,Casual Shoes,Wedding,Cloudy,26.7,Happy,0.35,0
T-Shirt,Skirt,Sports Shoes,Date,Cloudy,29.1,Happy,0.5,0
T-Shirt,Pants,Sandals,Date,Rainy,14.3,Happy,0.35,0
T-Shirt,Skirt,Heels,Wedding,Cloudy,13.9,Professional,0.55,1
Dress,Jeans,Casual Shoes,Party,Snow,10.5,Happy,0.8,1
Jacket,Jeans,Casual Shoes,Date,Rainy,35.1,Happy,0.45,0
T-Shirt,Pants,Sports Shoes,Date,Sunny,9.0,Romantic,0.7,1
T-Shirt,Skirt,Casual Shoes,Casual,Sunny,39.9,Relaxed,0.95,1
Dress,Pants,Sports Shoes,Date,Rainy,26.8,Relaxed,0.7,1
T-Shirt,Shorts,Boots,Office,Snow,15.2,Romantic,0.0,0
Dress,Pants,Sandals,Party,Snow,5.1,Happy,0.65,1
T-Shirt,Shorts,Boots,Casual,Snow,26.7,Professional,0.7,1
Blouse,Jeans,Boots,Wedding,Snow,11.6,Relaxed,1.0,1
Jacket,Pants,Boots,Casual,Clear,37.2,Professional,0.15,0
Blouse,Shorts,Sports Shoes,Wedding,Rainy,31.7,Professional,0.0,0
T-Shirt,Jeans,Boots,Casual,Cloudy,15.1,Professional,0.75,1
Coat,Skirt,Boots,Date,Snow,6.6,Bold,0.95,1
Coat,Skirt,Sandals,Casual,Cloudy,34.3,Bold,0.45,0
Shirt,Pants,Heels,Office,Snow,39.7,Bold,1.0,1
T-Shirt,Jeans,Heels,Casual,Rainy,22.4,Relaxed,1.0,1
Coat,Pants,Sandals,Wedding,Rainy,37.1,Professional,0.6,1
Sweater,Pants,Sports Shoes,Party,Cloudy,21.5,Bold,0.65,1
Coat,Skirt,Sports Shoes,Date,Rainy,6.5,Bold,0.8,1
Blouse,Shorts,Casual Shoes,Office,Clear,39.7,Professional,0.6,1
Jacket,Shorts,Sports Shoes,Party,Clear,35.1,Professional,0.2,0
Coat,Shorts,Boots,Wedding,Rainy,39.1,Bold,0.3,0
T-Shirt,Pants,Heels,Date,Cloudy,19.1,Relaxed,0.65,1
Coat,Shorts,Boots,Date,Clear,24.1,Bold,0.45,0
Jacket,Skirt,Casual Shoes,Date,Clear,37.5,Happy,0.25,0
Dress,Pants,Sports Shoes,Wedding,Sunny,31.0,Professional,0.35,0
Hoodie,Skirt,Casual Shoes,Party,Rainy,24.7,Professional,0.7,1
Blouse,Pants,Heels,Office,Clear,36.6,Happy,1.0,1
Blouse,Jeans,Heels,Date,Snow,30.6,Happy,0.75,1
T-Shirt,Shorts,Boots,Party,Sunny,33.0,Bold,0.8,1
Sweater,Skirt,Sports Shoes,Date,Clear,29.4,Bold,0.35,0
Jacket,Shorts,Heels,Casual,Cloudy,8.0,Relaxed,0.8,1
Dress,Pants,Casual Shoes,Casual,Sunny,9.5,Happy,0.7,1
Hoodie,Skirt,Boots,Party,Clear,32.8,Relaxed,0.35,0
Dress,Skirt,Casual Shoes,Office,Sunny,22.2,Happy,0.7,1
Blouse,Shorts,Sandals,Party,Snow,28.6,Relaxed,0.3,0
Blouse,Skirt,Heels,Date,Clear,24.0,Bold,0.85,1
Blouse,Shorts,Sports Shoes,Wedding,Rainy,23.0,Romantic,0.0,0
Jacket,Skirt,Casual Shoes,Party,Sunny,27.9,Happy,0.35,0
Blouse,Skirt,Boots,Date,Rainy,22.0,Happy,0.75,1
Dress,Pants,Heels,Casual,Snow,28.3,Bold,0.5,0
Blouse,Shorts,Casual Shoes,Office,Snow,19.1,Happy,0.2,0
Shirt,Jeans,Sandals,Office,Sunny,37.3,Bold,0.85,1
Shirt,Shorts,Casual Shoes,Casual,Snow,10.5,Relaxed,0.7,1
T-Shirt,Jeans,Casual Shoes,Date,Sunny,5.5,Professional,0.5,0
Hoodie,Jeans,Boots,Casual,Rainy,36.8,Bold,0.95,1
Blouse,Jeans,Heels,Casual,Rainy,38.3,Professional,0.55,1
Coat,Shorts,Casual Shoes,Wedding,Clear,33.0,Romantic,0.05,0
Dress,Skirt,Casual Shoes,Date,Snow,37.0,Bold,0.8,1
Dress,Jeans,Sandals,Casual,Cloudy,37.4,Happy,0.95,1
T-Shirt,Jeans,Sports Shoes,Casual,Rainy,18.9,Romantic,0.95,1
Dress,Pants,Boots,Party,Sunny,14.3,Bold,1.0,1
Shirt,Shorts,Sandals,Wedding,Cloudy,18.7,Happy,0.35,0
Coat,Skirt,Sports Shoes,Wedding,Snow,37.8,Happy,0.3,0
Shirt,Jeans,Sports Shoes,Party,Cloudy,24.2,Romantic,0.5,0
Sweater,Shorts,Boots,Party,Cloudy,13.2,Happy,0.7,1
Sweater,Jeans,Boots,Party,Clear,38.3,Happy,0.35,0
Shirt,Pants,Heels,Casual,Clear,16.5,Relaxed,0.65,1
Coat,Pants,Casual Shoes,Date,Cloudy,26.7,Professional,0.5,0
Blouse,Pants,Heels,Office,Rainy,32.5,Relaxed,1.0,1
Shirt,Skirt,Sandals,Casual,Clear,31.1,Professional,0.6,1
Shirt,Jeans,Sandals,Party,Rainy,32.7,Happy,0.55,0
T-Shirt,Pants,Boots,Casual,Snow,6.0,Relaxed,1.0,1
Dress,Jeans,Boots,Office,Rainy,17.6,Bold,0.8,1
Jacket,Shorts,Casual Shoes,Casual,Clear,19.9,Romantic,0.6,1
Coat,Pants,Sandals,Date,Clear,12.8,Romantic,0.6,1
Hoodie,Pants,Casual Shoes,Wedding,Clear,25.6,Relaxed,0.05,0
Jacket,Pants,Heels,Wedding,Cloudy,37.0,Happy,0.7,1
Dress,Shorts,Sports Shoes,Date,Rainy,38.1,Bold,0.7,1
Blouse,Jeans,Casual Shoes,Date,Snow,36.2,Bold,0.7,1
T-Shirt,Pants,Sandals,Date,Snow,30.6,Happy,0.45,0
Jacket,Jeans,Sandals,Wedding,Clear,32.5,Professional,0.35,0
Hoodie,Shorts,Boots,Office,Cloudy,15.4,Happy,0.0,0
Coat,Pants,Sandals,Party,Cloudy,25.9,Professional,0.4,0
T-Shirt,Jeans,Heels,Office,Cloudy,13.8,Romantic,0.35,0
Jacket,Skirt,Heels,Date,Cloudy,7.8,Romantic,1.0,1
Coat,Jeans,Boots,Party,Rainy,12.0,Relaxed,0.85,1
Dress,Skirt,Sandals,Party,Snow,14.7,Happy,0.65,1
T-Shirt,Shorts,Sandals,Party,Cloudy,35.2,Relaxed,0.75,1
Hoodie,Shorts,Sports Shoes,Casual,Sunny,25.9,Relaxed,0.95,1
Blouse,Pants,Sports Shoes,Wedding,Rainy,36.6,Happy,0.65,1
T-Shirt,Shorts,Sandals,Date,Clear,38.0,Relaxed,0.7,1
Coat,Pants,Casual Shoes,Date,Snow,32.1,Relaxed,0.45,0
Jacket,Shorts,Sports Shoes,Office,Sunny,27.7,Professional,0.0,0
Coat,Pants,Heels,Date,Cloudy,30.5,Professional,0.4,0
Shirt,Pants,Boots,Casual,Rainy,25.9,Bold,0.65,1
T-Shirt,Shorts,Boots,Wedding,Cloudy,11.9,Happy,0.0,0
T-Shirt,Skirt,Heels,Date,Snow,19.4,Professional,0.65,1
Blouse,Pants,Casual Shoes,Office,Rainy,9.6,Romantic,0.95,1
Jacket,Skirt,Casual Shoes,Wedding,Rainy,32.4,Happy,0.65,1
